Flow Duration,Total Fwd Packets,Flow Bytes/s,Flow IAT Mean,Fwd Packet Length Mean,SYN Flag Count,Down/Up Ratio,pca_x,pca_y,pca_z,true_label,kmeans_cluster,kmeans_k7,hierarchical_cluster
5805895,17,3776.334226,187286.9355,532.1176471,0,0,0.8693863762419956,0.7295430422917318,1.8109905537017683,BENIGN,1,1,1
1,2,31000000.0,1.0,15.5,1,0,-2.6311517941244773,4.390386708478756,-0.19142856435296837,BENIGN,0,0,0
5978855,5,5.017683152,1494713.75,6.0,0,0,1.4434570033407583,-0.009270200849699388,-0.8343525178631457,DDoS,1,1,1
30532,4,14607.62479,6106.4,38.0,0,0,-0.26245069157970563,0.35385183948112153,-0.4665221833678836,BENIGN,2,0,1
3,2,4000000.0,3.0,6.0,0,0,-2.0077534638145,0.6617094762315319,-0.5701563806368803,BENIGN,2,0,3
99672690,6,119.5312377,8306057.5,53.16666667,0,1,1.959400413245392,-0.4183595892670775,0.1814468148474516,DoS Hulk,1,0,1
534,2,22471.91011,534.0,6.0,0,0,-0.8079212652889991,0.3925337590454348,-0.6876615593382274,BENIGN,2,1,3
281,2,1138790.03558719,93.6666666667,35.0,0,1,-1.5783329645911148,-0.16257922018636176,0.1949934064375836,BENIGN,2,1,3
5977068,10,930.5565873,373566.75,36.3,0,0,0.7261289043008048,0.18484626460737405,-0.4712213806637053,BENIGN,1,0,1
36973,3,314472.7233,4621.625,8.666666667,0,2,-1.110172569721977,-1.051439234677523,0.7260872342040406,DDoS,2,1,3
52731,2,0.0,26365.5,0.0,0,0,0.9433178321649454,-0.0682964160543605,-1.059096022156792,BENIGN,1,0,1
8090629,1,5.191190944,1348438.167,6.0,0,6,0.028728669112365393,-4.4994845219534945,2.713589990297218,BENIGN,2,0,3
99735692,5,119.8066586,9973569.2,70.8,0,1,2.157038209072602,-0.34915713324408204,0.2630788562075726,DoS Hulk,1,1,1
1534007,1,147.3265767,1534007.0,46.0,0,1,0.6887797918458655,-0.5709368977410721,0.04731703474552564,BENIGN,1,0,1
69016115,2,2.781958967,23000000.0,48.0,0,1,3.9715131960116237,-0.1010066257062509,0.015301306158702977,BENIGN,1,1,1
10292500,6,78.7952392519,1143611.11111111,97.6666666667,0,0,1.2157284219584312,0.16593698683516203,-0.2940815143887555,BENIGN,1,1,1
25,1,0.0,25.0,0.0,0,1,-0.18424705909083358,-0.7148908069823589,-0.6525307013725881,BENIGN,2,1,1
290569,1,715.836858,290569.0,40.0,0,1,0.16094953176390747,-0.5311599868291893,0.04999892856175533,BENIGN,2,1,3
46868,2,5462.149014,15622.66667,40.0,0,1,-0.3289390611742564,-0.4354106823001018,0.09794617792518301,BENIGN,2,0,3
23770,1,7320.151451,23770.0,55.0,0,1,-0.4324212299374325,-0.39961357547059134,0.16199819042547103,BENIGN,2,1,3
60891,2,4729.763019,20297.0,44.0,0,1,-0.27773234461363483,-0.4404241081582011,0.11562015225307104,BENIGN,2,1,3
204005,5,181.3681037229,51001.25,7.4,0,0,0.4756633853375951,0.12680876087976692,-0.7567376281856342,BENIGN,1,0,1
14,1,0.0,14.0,0.0,0,1,-0.2482660537863633,-0.7075704571492356,-0.6657716601878759,BENIGN,2,0,1
40394,3,594.1476457,13464.66667,6.0,0,0,0.13825259867514808,0.19239309671890262,-0.7484313691119017,BENIGN,2,1,1
272854,4,1040.8496851796,54570.8,42.0,0,0,0.3215973303378924,0.22621935591513395,-0.5157613807878667,BENIGN,1,1,1
276,3,112318.8406,138.0,10.33333333,0,0,-1.0772381213774576,0.46895627964478376,-0.6109726118854552,BENIGN,2,0,3
19915,1,0.0,19915.0,0.0,0,1,0.5909111339569171,-0.8026653904216314,-0.49262992448694204,BENIGN,1,0,1
111889,21,377981.7498,2486.422222,60.14285714,0,1,-0.7304759198559171,-0.2606157605479746,0.4025017452358466,BENIGN,2,0,3
24028,2,13983.6857,8009.333333,39.0,0,1,-0.5224946231721908,-0.390742421347723,0.12006917963497733,BENIGN,2,1,3
9831990,6,80.6550861016,1092443.33333333,96.3333333333,0,0,1.2009896875230663,0.1645417298957775,-0.3001858381360186,BENIGN,1,1,1
117132671,22,50.4641442,3003401.821,99.13636364,0,0,1.7603623810287699,0.17508863539463024,-0.24507102503308065,BENIGN,1,0,1
234,2,2393162.393,78.0,76.0,0,1,-1.6619236728229214,-0.08997913411066742,0.4078497132867857,BENIGN,2,0,3
3,2,12333333.3333333,3.0,18.5,1,0,-2.436386429472682,4.347865435017817,-0.2031794967133162,BENIGN,0,0,0
110574198,162,0.0,686796.2609,0.0,0,0,1.907178386306066,-0.15097019515965746,-0.8652853414475437,BENIGN,1,1,1
118654,2,4197.077216,39551.33333,42.0,0,1,-0.18478206895152757,-0.4554085953536587,0.11733187638961913,BENIGN,2,0,3
1464,2,377049.1803,488.0,34.0,0,1,-1.2528221385803047,-0.22901787168038787,0.17997559030905685,BENIGN,2,1,3
116087705,22,24.44703339,3054939.605,81.45454545,0,0,1.8386450119027395,0.13141606665413916,-0.3563374743398364,BENIGN,1,0,1
5303884,5,254.7189946,662985.5,158.8,0,0,0.9850428377791465,0.2668113441571737,0.015670479668102498,BENIGN,1,3,1
6338,2,1893.341748,6338.0,6.0,0,0,-0.21884481283369972,0.26241840303756647,-0.740488356711056,BENIGN,2,0,1
7461224,2,51.33206026,2487074.667,47.5,0,1,1.1067742085847392,-0.6020815827577961,0.04635277879125146,BENIGN,1,5,1
42,1,142857.1429,42.0,0.0,0,1,-1.568692013415458,-0.25422145267546986,-0.10128093376144522,PortScan,2,3,3
197,2,893401.0152,65.66666667,36.0,0,1,-1.5893104407705683,-0.16643079530833546,0.1799330914166906,BENIGN,2,0,3
6219862,10,1512.573752,365874.2353,535.4,0,0,1.0107172520480836,0.7014657818270639,1.7857041535748945,BENIGN,1,0,1
196,3,250000.0,65.33333333,14.33333333,0,0,-1.2114595485477457,0.5089878285920022,-0.5649306188453631,BENIGN,2,0,3
216945,1,55.31355874,216945.0,6.0,0,1,0.4048538442022075,-0.663655488564384,-0.2248820111530957,BENIGN,2,1,3
62811,2,6209.103501,20937.0,30.0,0,1,-0.3166583755580706,-0.4440808285073123,0.06606443093696453,BENIGN,2,1,3
251,3,171314.741035857,125.5,14.3333333333,0,0,-1.136847025150437,0.49083060994374283,-0.5761707522800779,BENIGN,2,1,3
31158,2,7381.7318184736,10386.0,39.0,0,1,-0.41432584585639365,-0.4192807447462685,0.09731165265179649,BENIGN,2,0,3
